fid,boron,calcium,clay,copper,fineSand,humus,potassium,magnesium,phosphorus,rt,sand,totalN,zinc,silt,jb,coarseSand,altitude,sulfur,iron,manganese,molybdenum,sodium,ph,fiSoil,NDVI0517_uav,NDRE0517_uav,PLOT_ID,Block_a,Block_b,NDVI0412_uav,NDVI0529_uav,NDVI0624_uav,NDRE0412_uav,NDRE0529_uav,NDRE0624_uav,Treatment_2021,Treatment_2022,anthesis_23062021_biomass_dryweight_kgha,harvest_06082021_grainyield_15moisture_kgha,anthesis_31052022_biomassdryweight_kgha,harvest_11082022 _grainyield_15moisture_kgha,area
"11",2.12163,0,7.465085,1.006006,39.862068,1.820778,11.796996,3.252048,3.375937,5.810724,85.557991,0,0,5.156146,"3",45.695923,26.75585,,,,,,5.310724,"0",0.817778139055187,0.503897556269867,5h-13,7a,8b,0.476835236153106,0.795758682270163,0.59434177477202,0.214010127526265,0.469816519882513,0.314030391666524,REF_3,REF_3,,,"5036.546667","4033.874979",11.5311461405363
"12",2.194062,0,7.452835,1.0545,39.881554,1.820395,11.788768,3.247161,3.358759,5.81567,85.574478,0,0,5.152296,"3",45.692921,26.73398,,,,,,5.31567,"0",0.832502702600226,0.50717454439399,5h-13,7a,8b,0.476835236153106,0.795758682270163,0.59434177477202,0.214010127526265,0.469816519882513,0.314030391666524,REF_3,REF_3,,,"5036.546667","4033.874979",9.05594675103202
"13",1.947805,0,7.496648,0.889625,39.811863,1.821765,11.818198,3.264639,3.395121,5.8052,85.515518,0,0,5.166067,"3",45.703659,26.763876,,,,,,5.3052,"0",0.642674919008073,0.362921437995574,5h-13,7a,8b,0.476835236153106,0.795758682270163,0.59434177477202,0.214010127526265,0.469816519882513,0.314030391666524,REF_3,REF_3,,,"5036.546667","4033.874979",0.657211519661359
"14",1.999555,0,7.502126,0.924273,39.80315,1.821936,11.821877,3.266824,3.374009,5.811279,85.508148,0,0,5.167789,"3",45.705002,26.795809,,,,,,5.311279,"0",0.815549756838333,0.494490522814149,5h-13,7a,8b,0.476835236153106,0.795758682270163,0.59434177477202,0.214010127526265,0.469816519882513,0.314030391666524,REF_3,REF_3,,,"5036.546667","4033.874979",8.27758058253676
"15",2.06414,0,7.503659,0.967515,39.800709,1.821984,11.822907,3.267436,3.357029,5.816169,85.506088,0,0,5.168271,"3",45.705376,26.793394,,,,,,5.316169,"0",0.818687162751449,0.500323212150188,5h-13,7a,8b,0.476835236153106,0.795758682270163,0.59434177477202,0.214010127526265,0.469816519882513,0.314030391666524,REF_3,REF_3,,,"5036.546667","4033.874979",9.40057513758074
"16",2.128168,0,7.512225,1.010383,39.787086,1.822252,11.828661,3.270853,3.341524,5.820634,85.49456,0,0,5.170963,"3",45.707474,26.768183,,,,,,5.320634,"0",0.801447082418767,0.478767907736804,5h-13,7a,8b,0.476835236153106,0.795758682270163,0.59434177477202,0.214010127526265,0.469816519882513,0.314030391666524,REF_3,REF_3,,,"5036.546667","4033.874979",7.99634081730619
"17",1.972194,0,7.30467,0.905955,40.117222,1.815764,11.689242,3.188056,3.407056,5.801764,85.773842,0,0,5.105726,"4",45.65662,25.985634,,,,,,5.301764,"0",0.869514204615038,0.553722746399801,14h-4,8a,8b,0.551878776298985,0.765907232531005,0.708090088341988,0.247001000601247,0.40389165496642,0.378316804329439,MO13,MO13,,,"4948.146667","4463.514625",0.339679684842849
"18",2.058163,0,7.310117,0.963513,40.108559,1.815934,11.692901,3.190228,3.365818,5.813638,85.76651,0,0,5.107438,"4",45.657951,25.917238,,,,,,5.313638,"0",0.770026351121117,0.435944615665119,14h-4,8a,8b,0.551878776298985,0.765907232531005,0.708090088341988,0.247001000601247,0.40389165496642,0.378316804329439,MO13,MO13,,,"4948.146667","4463.514625",5.43179467413574
"19",2.069713,0,7.255218,0.971246,40.195881,1.814219,11.656024,3.168329,3.33558,5.822345,85.840378,0,0,5.090183,"4",45.644501,25.849194,,,,,,5.322345,"0",0.770259752419152,0.445866662021597,14h-4,8a,8b,0.551878776298985,0.765907232531005,0.708090088341988,0.247001000601247,0.40389165496642,0.378316804329439,MO13,MO13,,,"4948.146667","4463.514625",4.30879754963098
"20",2.094666,0,7.238338,0.987953,40.222729,1.813691,11.644685,3.161595,3.314981,5.828277,85.863098,0,0,5.084877,"4",45.640366,25.786755,,,,,,5.328277,"0",0.77565306735976,0.441486524301202,14h-4,8a,8b,0.551878776298985,0.765907232531005,0.708090088341988,0.247001000601247,0.40389165496642,0.378316804329439,MO13,MO13,,,"4948.146667","4463.514625",2.65904847998172
"21",1.977865,0,7.206835,0.909752,40.272835,1.812706,11.623524,3.149028,3.396092,5.804921,85.905487,0,0,5.074975,"4",45.632648,26.030302,,,,,,5.304921,"0",0.784963744511907,0.454459539147439,14h-4,8a,8b,0.551878776298985,0.765907232531005,0.708090088341988,0.247001000601247,0.40389165496642,0.378316804329439,MO13,MO13,,,"4948.146667","4463.514625",1.79969242321749
"22",2.062461,0,7.213027,0.966391,40.262989,1.8129,11.627684,3.151498,3.354147,5.816999,85.897156,0,0,5.076921,"4",45.634163,25.953615,,,,,,5.316999,"0",0.773314607925508,0.434009103328999,14h-4,8a,8b,0.551878776298985,0.765907232531005,0.708090088341988,0.247001000601247,0.40389165496642,0.378316804329439,MO13,MO13,,,"4948.146667","4463.514625",12.2510523123201
"23",2.093482,0,7.167664,0.98716,40.33514,1.811482,11.597212,3.133402,3.316375,5.827876,85.958191,0,0,5.062664,"4",45.623051,25.872726,,,,,,5.327876,"0",0.766820768185106,0.430779663298984,14h-4,8a,8b,0.551878776298985,0.765907232531005,0.708090088341988,0.247001000601247,0.40389165496642,0.378316804329439,MO13,MO13,,,"4948.146667","4463.514625",12.2510528597631
"24",2.129422,0,7.165861,1.011223,40.338009,1.811426,11.596001,3.132683,3.293295,5.834521,85.960617,0,0,5.062097,"4",45.622608,25.795265,,,,,,5.334521,"0",0.746286087257164,0.41176844960445,14h-4,8a,8b,0.551878776298985,0.765907232531005,0.708090088341988,0.247001000601247,0.40389165496642,0.378316804329439,MO13,MO13,,,"4948.146667","4463.514625",8.70643059950089
"25",1.945182,0,7.097818,0.88787,40.446239,1.809299,11.550295,3.105539,3.403061,5.802914,86.05217,0,0,5.04071,"4",45.605934,26.088026,,,,,,5.302914,"0",0.781159996224474,0.444238085623327,14h-4,8a,8b,0.551878776298985,0.765907232531005,0.708090088341988,0.247001000601247,0.40389165496642,0.378316804329439,MO13,MO13,,,"4948.146667","4463.514625",1.25934123075422
"26",2.030279,0,7.11111,0.944844,40.425095,1.809714,11.559223,3.110842,3.36147,5.81489,86.034286,0,0,5.044888,"4",45.609192,25.994532,,,,,,5.31489,"0",0.807454571182181,0.467478604477105,14h-4,8a,8b,0.551878776298985,0.765907232531005,0.708090088341988,0.247001000601247,0.40389165496642,0.378316804329439,MO13,MO13,,,"4948.146667","4463.514625",5.2741465694271
"27",2.072368,0,7.060726,0.973024,40.505238,1.808139,11.525379,3.090743,3.320518,5.826683,86.102081,0,0,5.029052,"4",45.596848,25.893339,,,,,,5.326683,"0",0.793160826169696,0.451143822696421,14h-4,8a,8b,0.551878776298985,0.765907232531005,0.708090088341988,0.247001000601247,0.40389165496642,0.378316804329439,MO13,MO13,,,"4948.146667","4463.514625",5.27415579848457
"28",2.121186,0,7.059948,1.005708,40.506474,1.808115,11.524857,3.090432,3.292249,5.834823,86.103127,0,0,5.028807,"4",45.596657,25.799124,,,,,,5.334823,"0",0.779082379249467,0.437281305635393,14h-4,8a,8b,0.551878776298985,0.765907232531005,0.708090088341988,0.247001000601247,0.40389165496642,0.378316804329439,MO13,MO13,,,"4948.146667","4463.514625",3.3525186219922
"29",1.738666,0,6.768196,0.749602,40.970531,1.798996,11.32888,2.974048,3.495192,5.776384,86.495705,0,0,4.937106,"4",45.525169,26.114981,,,,,,5.276384,"0",0.782216308360253,0.446337651515408,8h-8,8a,8b,0.485917891467745,0.825058682685009,0.695801170859283,0.224701563105715,0.473047852845045,0.376871701369334,SDG,SDG,,,"6452.246667","5889.176209",3.6782956062525
"30",1.697228,0,6.578719,0.721859,41.271912,1.793074,11.201605,2.898463,3.481083,5.780447,86.750656,0,0,4.877552,"4",45.478745,26.094301,,,,,,5.280447,"0",0.830150538681414,0.498019524854832,8h-8,8a,8b,0.485917891467745,0.825058682685009,0.695801170859283,0.224701563105715,0.473047852845045,0.376871701369334,SDG,SDG,,,"6452.246667","5889.176209",9.87236953387037
"31",1.642753,0,6.449157,0.685386,41.477993,1.789024,11.114574,2.846778,3.494024,5.776721,86.924988,0,0,4.836829,"4",45.446999,26.085037,,,,,,5.276721,"0",0.82553484264076,0.487515635023668,8h-8,8a,8b,0.485917891467745,0.825058682685009,0.695801170859283,0.224701563105715,0.473047852845045,0.376871701369334,SDG,SDG,,,"6452.246667","5889.176209",8.74937541468535
"32",1.60127,0,6.343429,0.657612,41.646164,1.78572,11.043554,2.804601,3.502268,5.774347,87.067253,0,0,4.803597,"4",45.421093,26.085808,,,,,,5.274347,"0",0.770943117385552,0.43180405773382,8h-8,8a,8b,0.485917891467745,0.825058682685009,0.695801170859283,0.224701563105715,0.473047852845045,0.376871701369334,SDG,SDG,,,"6452.246667","5889.176209",4.04560899719945
"33",1.829129,0,6.962801,0.810169,40.660995,1.805079,11.4596,3.051679,3.499469,5.775153,86.233849,0,0,4.998273,"4",45.572853,26.189795,,,,,,5.275153,"0",0.786358946182736,0.459992280333863,8h-8,8a,8b,0.485917891467745,0.825058682685009,0.695801170859283,0.224701563105715,0.473047852845045,0.376871701369334,SDG,SDG,,,"6452.246667","5889.176209",4.54343145762687
"34",1.797364,0,6.772771,0.788902,40.963253,1.799139,11.331954,2.975873,3.481924,5.780205,86.489548,0,0,4.938544,"4",45.526291,26.178885,,,,,,5.280205,"0",0.831445984674753,0.503984588905398,8h-8,8a,8b,0.485917891467745,0.825058682685009,0.695801170859283,0.224701563105715,0.473047852845045,0.376871701369334,SDG,SDG,,,"6452.246667","5889.176209",11.0593266178621
"35",1.758471,0,6.639483,0.762862,41.175262,1.794973,11.242421,2.922702,3.487998,5.778456,86.668892,0,0,4.89665,"4",45.493633,26.174162,,,,,,5.278456,"0",0.819409366066112,0.492122345443167,8h-8,8a,8b,0.485917891467745,0.825058682685009,0.695801170859283,0.224701563105715,0.473047852845045,0.376871701369334,SDG,SDG,,,"6452.246667","5889.176209",12.0399146890268
"36",1.723453,0,6.523647,0.739416,41.359509,1.791352,11.164612,2.876494,3.49026,5.777804,86.82476,0,0,4.860242,"4",45.465248,26.169651,,,,,,5.277804,"0",0.750578087436489,0.424245973076702,8h-8,8a,8b,0.485917891467745,0.825058682685009,0.695801170859283,0.224701563105715,0.473047852845045,0.376871701369334,SDG,SDG,,,"6452.246667","5889.176209",5.1062415674678
"37",1.816913,0,6.895685,0.801991,40.76775,1.802981,11.414517,3.024905,3.506513,5.773125,86.324158,0,0,4.977178,"4",45.556408,26.281498,,,,,,5.273125,"0",0.828036160345549,0.514915611489676,8h-8,8a,8b,0.485917891467745,0.825058682685009,0.695801170859283,0.224701563105715,0.473047852845045,0.376871701369334,SDG,SDG,,,"6452.246667","5889.176209",5.43685045267921
"38",1.790104,0,6.769368,0.784041,40.968666,1.799033,11.329668,2.974515,3.502424,5.774302,86.494125,0,0,4.937475,"4",45.525455,26.269978,,,,,,5.274302,"0",0.685695087465854,0.384091766604832,8h-8,8a,8b,0.485917891467745,0.825058682685009,0.695801170859283,0.224701563105715,0.473047852845045,0.376871701369334,SDG,SDG,,,"6452.246667","5889.176209",1.69787768620881
"39",1.912333,0,7.340861,0.865876,40.059654,1.816895,11.713552,3.202493,3.337284,5.821855,85.725143,0,0,5.117101,"4",45.665485,26.813269,,,,,,5.321855,"0",0.679337709631652,0.356716386146227,2h-2,7a,8b,0.475469614430635,0.7496284075683,0.664639534972849,0.209203001754786,0.399970804610232,0.333803649661058,PAL,PAL,,,"4079.746667","4971.186846",2.9024397827452
"40",1.953479,0,7.397039,0.893424,39.970299,1.818651,11.751288,3.224903,3.327728,5.824606,85.649551,0,0,5.134758,"3",45.679253,26.826208,,,,,,5.324606,"0",0.670531156288621,0.353024075276579,2h-2,7a,8b,0.475469614430635,0.7496284075683,0.664639534972849,0.209203001754786,0.399970804610232,0.333803649661058,PAL,PAL,,,"4079.746667","4971.186846",5.27412109571742
"41",2.01469,0,7.479089,0.934407,39.83979,1.821216,11.806403,3.257634,3.320059,5.826815,85.539146,0,0,5.160548,"3",45.699356,26.808514,,,,,,5.326815,"0",0.644664547589306,0.336378480488784,2h-2,7a,8b,0.475469614430635,0.7496284075683,0.664639534972849,0.209203001754786,0.399970804610232,0.333803649661058,PAL,PAL,,,"4079.746667","4971.186846",5.27412381197792
"42",2.063069,0,7.59503,0.966798,39.655376,1.82484,11.884284,3.303885,3.325232,5.825325,85.383141,0,0,5.19699,"3",45.727764,26.771128,,,,,,5.325325,"0",0.557491215656637,0.276920094712759,2h-2,7a,8b,0.475469614430635,0.7496284075683,0.664639534972849,0.209203001754786,0.399970804610232,0.333803649661058,PAL,PAL,,,"4079.746667","4971.186846",1.63523190030537
"43",1.962282,0,7.343425,0.899319,40.055576,1.816976,11.715275,3.203516,3.315293,5.828187,85.721695,0,0,5.117907,"4",45.666115,26.808334,,,,,,5.328187,"0",0.730418282332787,0.400707752853499,2h-2,7a,8b,0.475469614430635,0.7496284075683,0.664639534972849,0.209203001754786,0.399970804610232,0.333803649661058,PAL,PAL,,,"4079.746667","4971.186846",7.86573108719313
"44",1.986664,0,7.389595,0.915643,39.98214,1.818419,11.746288,3.221934,3.308539,5.830132,85.659569,0,0,5.132419,"3",45.677425,26.822311,,,,,,5.330132,"0",0.785162219717349,0.447628878021764,2h-2,7a,8b,0.475469614430635,0.7496284075683,0.664639534972849,0.209203001754786,0.399970804610232,0.333803649661058,PAL,PAL,,,"4079.746667","4971.186846",12.2510655222577
"45",2.038627,0,7.445138,0.950433,39.893795,1.820155,11.783598,3.244091,3.299927,5.832612,85.584831,0,0,5.149877,"3",45.691036,26.815809,,,,,,5.332612,"0",0.739033265017302,0.404517796689339,2h-2,7a,8b,0.475469614430635,0.7496284075683,0.664639534972849,0.209203001754786,0.399970804610232,0.333803649661058,PAL,PAL,,,"4079.746667","4971.186846",12.2510660084663
"46",2.067113,0,7.549871,0.969505,39.727207,1.823428,11.85395,3.28587,3.308986,5.830003,85.443909,0,0,5.182796,"3",45.716698,26.790401,,,,,,5.330003,"0",0.60117400132732,0.304138250011347,2h-2,7a,8b,0.475469614430635,0.7496284075683,0.664639534972849,0.209203001754786,0.399970804610232,0.333803649661058,PAL,PAL,,,"4079.746667","4971.186846",2.64044083798217
"47",1.947763,0,7.383048,0.889598,39.992554,1.818214,11.74189,3.219322,3.311831,5.829184,85.668373,0,0,5.130361,"3",45.675823,26.793884,,,,,,5.329184,"0",0.74684762430962,0.40910763828981,2h-2,7a,8b,0.475469614430635,0.7496284075683,0.664639534972849,0.209203001754786,0.399970804610232,0.333803649661058,PAL,PAL,,,"4079.746667","4971.186846",6.61883989913622
"48",1.978573,0,7.424136,0.910225,39.9272,1.819498,11.76949,3.235713,3.305427,5.831028,85.613091,0,0,5.143275,"3",45.68589,26.775057,,,,,,5.331028,"0",0.719998528930778,0.386068095129588,2h-2,7a,8b,0.475469614430635,0.7496284075683,0.664639534972849,0.209203001754786,0.399970804610232,0.333803649661058,PAL,PAL,,,"4079.746667","4971.186846",7.7418427458033
"49",1.979565,0,7.54094,0.910889,39.741413,1.823149,11.84795,3.282307,3.323057,5.825951,85.455925,0,0,5.179988,"3",45.714512,26.736708,,,,,,5.325951,"0",0.591873794860742,0.292479076691292,2h-2,7a,8b,0.475469614430635,0.7496284075683,0.664639534972849,0.209203001754786,0.399970804610232,0.333803649661058,PAL,PAL,,,"4079.746667","4971.186846",1.03284724352852
"50",1.910325,0,6.985847,0.864532,40.62434,1.805799,11.475081,3.060872,3.40973,5.800993,86.202835,0,0,5.005517,"4",45.578499,26.114973,,,,,,5.300993,"0",0.792212902335926,0.457387173182668,13h-3,8a,8b,0.547239052067058,0.828074786194757,0.744978328910827,0.253311491346073,0.473425449120227,0.422391722917568,FEK,FEK,,,"5873.313333","6987.804667",4.06847094149271
"51",1.994723,0,6.987737,0.921039,40.62133,1.805858,11.476351,3.061626,3.368639,5.812826,86.200294,0,0,5.006111,"4",45.578964,26.014479,,,,,,5.312826,"0",0.822177233321222,0.489000796115596,13h-3,8a,8b,0.547239052067058,0.828074786194757,0.744978328910827,0.253311491346073,0.473425449120227,0.422391722917568,FEK,FEK,,,"5873.313333","6987.804667",12.2510551277082
"52",2.046,0,6.929652,0.955369,40.713722,1.804043,11.437334,3.038455,3.327258,5.824741,86.27845,0,0,4.987854,"4",45.564732,25.90522,,,,,,5.324741,"0",0.823384018420838,0.480991228022539,13h-3,8a,8b,0.547239052067058,0.828074786194757,0.744978328910827,0.253311491346073,0.473425449120227,0.422391722917568,FEK,FEK,,,"5873.313333","6987.804667",12.2510533091845
"53",2.104159,0,6.917384,0.994309,40.733234,1.803659,11.429093,3.033561,3.294722,5.834111,86.29496,0,0,4.983998,"4",45.561726,25.802814,,,,,,5.334111,"0",0.782140255530564,0.445576782612015,13h-3,8a,8b,0.547239052067058,0.828074786194757,0.744978328910827,0.253311491346073,0.473425449120227,0.422391722917568,FEK,FEK,,,"5873.313333","6987.804667",6.36339877573482
"54",1.837674,0,6.738225,0.815891,41.018204,1.798059,11.308748,2.962092,3.397372,5.804552,86.536026,0,0,4.927686,"4",45.517826,26.092947,,,,,,5.304552,"0",0.796078450480144,0.464957169734582,13h-3,8a,8b,0.547239052067058,0.828074786194757,0.744978328910827,0.253311491346073,0.473425449120227,0.422391722917568,FEK,FEK,,,"5873.313333","6987.804667",2.58458106874605
"55",1.905149,0,6.728426,0.861067,41.033791,1.797753,11.302166,2.958183,3.36294,5.814467,86.549217,0,0,4.924606,"4",45.515427,25.997704,,,,,,5.314467,"0",0.822597683316109,0.492304678043644,13h-3,8a,8b,0.547239052067058,0.828074786194757,0.744978328910827,0.253311491346073,0.473425449120227,0.422391722917568,FEK,FEK,,,"5873.313333","6987.804667",6.84170739678666
"56",1.947632,0,6.668296,0.88951,41.129433,1.795874,11.261775,2.934196,3.327714,5.82461,86.630127,0,0,4.905707,"4",45.50069,25.899139,,,,,,5.32461,"0",0.821056370705911,0.474304661333797,13h-3,8a,8b,0.547239052067058,0.828074786194757,0.744978328910827,0.253311491346073,0.473425449120227,0.422391722917568,FEK,FEK,,,"5873.313333","6987.804667",7.96469984884607
"57",2.016882,0,6.656084,0.935874,41.148857,1.795492,11.253572,2.929324,3.293984,5.834323,86.646553,0,0,4.901868,"4",45.4977,25.808222,,,,,,5.334323,"0",0.76028173188564,0.431767549017659,13h-3,8a,8b,0.547239052067058,0.828074786194757,0.744978328910827,0.253311491346073,0.473425449120227,0.422391722917568,FEK,FEK,,,"5873.313333","6987.804667",3.77442109867116
"58",1.764178,0,6.228028,0.766683,41.829716,1.782112,10.966038,2.758566,3.354553,5.816882,87.222534,0,0,4.767326,"4",45.392815,26.010796,,,,,,5.316882,"0",0.542890889409877,0.293350596204219,11h-11,8a,8b,0.407821750734001,0.551645820751885,0.42999283393032,0.192650809048614,0.271806486003694,0.220820789413851,REF_1,REF_1,,,"2469.046667","1876.170141",5.63627462100703
"59",1.781209,0,6.202919,0.778085,41.869656,1.781328,10.949171,2.74855,3.346271,5.819267,87.256317,0,0,4.759434,"4",45.386665,25.936987,,,,,,5.319267,"0",0.542252640086271,0.294455278342224,11h-11,8a,8b,0.407821750734001,0.551645820751885,0.42999283393032,0.192650809048614,0.271806486003694,0.220820789413851,REF_1,REF_1,,,"2469.046667","1876.170141",7.09059068036731
"60",1.821867,0,6.184072,0.805307,41.899635,1.780739,10.936511,2.741032,3.327772,5.824594,87.281677,0,0,4.75351,"4",45.382046,25.872391,,,,,,5.324594,"0",0.555024849267221,0.294018164276124,11h-11,8a,8b,0.407821750734001,0.551645820751885,0.42999283393032,0.192650809048614,0.271806486003694,0.220820789413851,REF_1,REF_1,,,"2469.046667","1876.170141",5.96759510401171
"61",1.901283,0,6.173202,0.858478,41.916924,1.780399,10.92921,2.736696,3.294767,5.834097,87.296303,0,0,4.750093,"4",45.379383,25.796309,,,,,,5.334097,"0",0.571762258452893,0.303075880711301,11h-11,8a,8b,0.407821750734001,0.551645820751885,0.42999283393032,0.192650809048614,0.271806486003694,0.220820789413851,REF_1,REF_1,,,"2469.046667","1876.170141",0.824820131088927
"62",1.696287,0,6.130363,0.721228,41.985062,1.77906,10.900434,2.719606,3.372972,5.811578,87.353951,0,0,4.736629,"4",45.368885,26.007311,,,,,,5.311578,"0",0.590592433328315,0.306808342550893,11h-11,8a,8b,0.407821750734001,0.551645820751885,0.42999283393032,0.192650809048614,0.271806486003694,0.220820789413851,REF_1,REF_1,,,"2469.046667","1876.170141",9.74042129400186
"63",1.699728,0,6.094528,0.723532,42.042061,1.77794,10.876362,2.705311,3.370308,5.812346,87.402168,0,0,4.725365,"4",45.360104,25.940968,,,,,,5.312346,"0",0.567224281664023,0.295608560340111,11h-11,8a,8b,0.407821750734001,0.551645820751885,0.42999283393032,0.192650809048614,0.271806486003694,0.220820789413851,REF_1,REF_1,,,"2469.046667","1876.170141",12.251062678115
"64",1.74311,0,6.056859,0.752578,42.101978,1.776762,10.851059,2.690284,3.353218,5.817266,87.45285,0,0,4.713525,"4",45.350876,25.884817,,,,,,5.317266,"0",0.583761769917089,0.294569729234176,11h-11,8a,8b,0.407821750734001,0.551645820751885,0.42999283393032,0.192650809048614,0.271806486003694,0.220820789413851,REF_1,REF_1,,,"2469.046667","1876.170141",12.2510543375392
"65",1.824659,0,6.050396,0.807177,42.112259,1.77656,10.846718,2.687706,3.322665,5.826064,87.461548,0,0,4.711494,"4",45.349293,25.805815,,,,,,5.326064,"0",0.599243239497724,0.310635103197513,11h-11,8a,8b,0.407821750734001,0.551645820751885,0.42999283393032,0.192650809048614,0.271806486003694,0.220820789413851,REF_1,REF_1,,,"2469.046667","1876.170141",0.766869105023943
"66",1.669576,0,6.107748,0.703345,42.021034,1.778353,10.885242,2.710585,3.395905,5.804975,87.384377,0,0,4.729521,"4",45.363346,26.033358,,,,,,5.304975,"0",0.645629946637617,0.342311804681195,11h-11,8a,8b,0.407821750734001,0.551645820751885,0.42999283393032,0.192650809048614,0.271806486003694,0.220820789413851,REF_1,REF_1,,,"2469.046667","1876.170141",4.70169666136644
"67",1.659447,0,6.055229,0.696563,42.104568,1.776711,10.849964,2.689634,3.39736,5.804555,87.455048,0,0,4.713013,"4",45.350475,25.970955,,,,,,5.304555,"0",0.623739146988956,0.333777719894367,11h-11,8a,8b,0.407821750734001,0.551645820751885,0.42999283393032,0.192650809048614,0.271806486003694,0.220820789413851,REF_1,REF_1,,,"2469.046667","1876.170141",5.27413846022682
"68",1.676201,0,6.003434,0.70778,42.186954,1.775093,10.815173,2.668972,3.388035,5.80724,87.524742,0,0,4.696733,"4",45.337784,25.921078,,,,,,5.30724,"0",0.600567616738506,0.311882505751694,11h-11,8a,8b,0.407821750734001,0.551645820751885,0.42999283393032,0.192650809048614,0.271806486003694,0.220820789413851,REF_1,REF_1,,,"2469.046667","1876.170141",5.13341205590405
